  87  |       239  |  4186      |  0110 1100           |  1194
  86  |       253  |  3951      |  0110 1011           |  1265
  85  |       268  |  3729      |  0110 1010           |  1341
  84  |       284  |  3520      |  0110 1001           |  1420
  83  |       300  |  3322      |  0110 1000           |  1505
  82  |       319  |  3136      |  0110 0111           |  1594
  81  |       338  |  2960      |  0110 0110           |  1689
  80  |       358  |  2794      |  0110 0101           |  1790
  79  |       379  |  2637      |  0110 0100           |  1896
  78  |       402  |  2489      |  0110 0011           |  2009
  77  |       426  |  2349      |  0110 0010           |  2128
  76  |       451  |  2217      |  0110 0001           |  2255
  75  |       478  |  2093      |  0110 0000           |  2389
  74  |       506  |  1976      |  0101 1111           |  2531
  73  |       536  |  1865      |  0101 1110           |  2681
  72  |       568  |  1760      |  0101 1101           |  2841
  71  |       602  |  1661      |  0101 1100           |  3010
  70  |       638  |  1568      |  0101 1011           |  3189
  69  |       676  |  1480      |  0101 1010           |  3379
  68  |       716  |  1397      |  0101 1001           |  3579
  67  |       758  |  1319      |  0101 1000           |  3792
  66  |       804  |  1245      |  0101 0111           |  4018
  65  |       851  |  1175      |  0101 0110           |  4257
  64  |       902  |  1109      |  0101 0101           |  4510
  63  |       956  |  1047      |  0101 0100           |  4778
  62  |      1012  |  988       |  0101 0011           |  5062
  61  |      1073  |  932       |  0101 0010           |  5363
  60  |      1136  |  880       |  0101 0001           |  5682
  59  |      1204  |  831       |  0101 0000           |  6020
  58  |      1276  |  784       |  0100 1111           |  6378
  57  |      1351  |  740       |  0100 1110           |  6757
  56  |      1432  |  698       |  0100 1101           |  7159
  55  |      1517  |  659       |  0100 1100           |  7584
  54  |      1607  |  622       |  0100 1011           |  8035
  53  |      1703  |  588       |  0100 1010           |  8513
  52  |      1804  |  554       |  0100 1001           |  9019
  51  |      1911  |  523       |  0100 1000           |  9556
  50  |      2025  |  494       |  0100 0111           |  10124
  49  |      2145  |  466       |  0100 0110           |  10726
  48  |      2272  |  440       |  0100 0101           |  11364
  47  |      2408  |  415       |  0100 0100           |  12039
  46  |      2551  |  392       |  0100 0011           |  12755
  45  |      2703  |  370       |  0100 0010           |  13514
  44  |      2863  |  349       |  0100 0001           |  14317
  43  |      3034  |  330       |  0100 0000           |  15167
  42  |      3214  |  311       |  0011 1111           |  16071
  41  |      3405  |  294       |  0011 1110           |  17026
  40  |      3608  |  277       |  0011 1101           |  18039
  39  |      3822  |  262       |  0011 1100           |  19111
  38  |      4050  |  247       |  0011 1011           |  20248
  37  |      4290  |  233       |  0011 1010           |  21452
  36  |      4545  |  220       |  0011 1001           |  22727
  35  |      4816  |  208       |  0011 1000           |  24079
  34  |      5102  |  196       |  0011 0111           |  25510
  33  |      5405  |  185       |  0011 0110           |  27027
  32  |      5727  |  175       |  0011 0101           |  28635
  31  |      6067  |  165       |  0011 0100           |  30337
  30  |      6428  |  156       |  0011 0011           |  32141
  29  |      6811  |  147       |  0011 0010           |  34053
  28  |      7215  |  139       |  0011 0001           |  36077
  27  |      7644  |  131       |  0011 0000           |  38223
  26  |      8099  |  123       |  0010 1111           |  40495
  25  |      8581  |  117       |  0010 1110           |  42903
  24  |      9091  |  110       |  0010 1101           |  45455
  23  |      9631  |  104       |  0010 1100           |  48157
  22  |     10204  |  98        |  0010 1011           |  51021
  21  |     10811  |  92        |  0010 1010           |  54055
  20  |     11454  |  87        |  0010 1001           |  57269
  19  |     12135  |  82        |  0010 1000           |  60675
  18  |     12856  |  78        |  0010 0111           |  64282
  17  |     13621  |  73        |  0010 0110           |  68105
  16  |     14431  |  69        |  0010 0101           |  72155
  15  |     15289  |  65        |  0010 0100           |  76445
  14  |     16198  |  62        |  0010 0011           |  80991
  13  |     17161  |  58        |  0010 0010           |  85807
  12  |     18182  |  55        |  0010 0001           |  90909
  11  |     19263  |  52        |  0010 0000           |  96315
  10  |     20408  |  49        |  0001 1111           |  102042
  09  |     21622  |  46        |  0001 1110           |  108110
  08  |     22908  |  44        |  0001 1101           |  114538
  07  |     24270  |  41        |  0001 1100           |  121349
  06  |     25713  |  39        |  0001 1011           |  128565
  05  |     27242  |  37        |  0001 1010           |  136210
  04  |     28862  |  35        |  0001 1001           |  144309
  03  |     30578  |  33        |  0001 1000           |  152890
  02  |     32396  |  31        |  0001 0111           |  161982
  01  |     34323  |  29        |  0001 0110           |  171613
  00  |     36364  |  27        |  0001 0101           |  181818
