Added Component: Designator=P3(BOURNS Trim pot)
Added Component: Designator=P4(BOURNS Trim pot)
Added Component: Designator=P5(BOURNS Trim pot)
Added Component: Designator=P6(BOURNS Trim pot)
Added Component: Designator=P7(CAPC1608N)
Added Component: Designator=P8(BOURNS Trim pot)
Added Component: Designator=P9(ALPS Potentiometer)
Added Component: Designator=P10(BOURNS Trim pot)
Added Pin To Net: NetName=NetD1_1 Pin=J1-1
Added Pin To Net: NetName=GND Pin=J1-2
Added Pin To Net: NetName=NetD1_2 Pin=J1-3
Added Pin To Net: NetName=NetJ3_4 Pin=J3-4
Added Pin To Net: NetName=NetD2_1 Pin=J3-5
Added Pin To Net: NetName=GND Pin=J4-2
Added Pin To Net: NetName=NetJ4_4 Pin=J4-4
Added Pin To Net: NetName=NetJ4_5 Pin=J4-5
Added Pin To Net: NetName=GND Pin=J5-1
Added Pin To Net: NetName=NetJ5_2 Pin=J5-2
Added Pin To Net: NetName=NetJ5_4 Pin=J5-4
Added Pin To Net: NetName=GND Pin=P1-1
Added Pin To Net: NetName=NetP1_2 Pin=P1-2
Added Pin To Net: NetName=GND Pin=P1-3
Added Pin To Net: NetName=NetP2_1 Pin=P2-1
Added Pin To Net: NetName=GND Pin=P2-2
Added Pin To Net: NetName=GND Pin=P2-3
Added Pin To Net: NetName=NetP3_1 Pin=P3-1
Added Pin To Net: NetName=NetP3_2 Pin=P3-2
Added Pin To Net: NetName=NetP3_3 Pin=P3-3
Added Pin To Net: NetName=NetP4_1 Pin=P4-1
Added Pin To Net: NetName=NetP4_2 Pin=P4-2
Added Pin To Net: NetName=NetD3_1 Pin=P4-3
Added Pin To Net: NetName=NetP5_1 Pin=P5-1
Added Pin To Net: NetName=NetP5_2 Pin=P5-2
Added Pin To Net: NetName=NetP5_3 Pin=P5-3
Added Pin To Net: NetName=NetP6_1 Pin=P6-1
Added Pin To Net: NetName=NetC28_2 Pin=P6-2
Added Pin To Net: NetName=NetC28_2 Pin=P6-3
Added Pin To Net: NetName=NetP7_1 Pin=P7-1
Added Pin To Net: NetName=NetP7_2 Pin=P7-2
Added Pin To Net: NetName=NetC35_1 Pin=P8-1
Added Pin To Net: NetName=NetP8_2 Pin=P8-2
Added Pin To Net: NetName=NetP8_2 Pin=P8-3
Added Pin To Net: NetName=GND Pin=P9-1
Added Pin To Net: NetName=NetP9_2 Pin=P9-2
Added Pin To Net: NetName=NetC36_1 Pin=P9-3
Added Pin To Net: NetName=NetDisplay1_15 Pin=P10-1
Added Pin To Net: NetName=+5V Pin=P10-2
