Net Status Report
Filename     : C:\Users\bocal\Desktop\Elec_synthe\Synthy Two - 29-05\PCBAdam.PcbDoc
Date         : 5/29/2016
Time         : 5:10:37 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    +3.3V, Signal Layers Only, 0mm
    +5V, Signal Layers Only, 0mm
    +9V, Signal Layers Only, 0mm
    -9V, Signal Layers Only, 0mm
    3,3V, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    NetC11_2, Signal Layers Only, 0mm
    NetC12_2, Signal Layers Only, 0mm
    NetC13_2, Signal Layers Only, 0mm
    NetC19_1, Signal Layers Only, 0mm
    NetC19_2, Signal Layers Only, 0mm
    NetC1_1, Signal Layers Only, 0mm
    NetC20_1, Signal Layers Only, 0mm
    NetC23_1, Signal Layers Only, 0mm
    NetC23_2, Signal Layers Only, 0mm
    NetC25_1, Signal Layers Only, 0mm
    NetC25_2, Signal Layers Only, 0mm
    NetC28_1, Signal Layers Only, 0mm
    NetC28_2, Signal Layers Only, 0mm
    NetC33_2, Signal Layers Only, 0mm
    NetC34_2, Signal Layers Only, 0mm
    NetC36_1, Signal Layers Only, 0mm
    NetC36_2, Signal Layers Only, 0mm
    NetC39_2, Signal Layers Only, 0mm
    NetC40_2, Signal Layers Only, 0mm
    NetC41_2, Signal Layers Only, 0mm
    NetC42_2, Signal Layers Only, 0mm
    NetC43_2, Signal Layers Only, 0mm
    NetC44_2, Signal Layers Only, 0mm
    NetC47_1, Signal Layers Only, 0mm
    NetC47_2, Signal Layers Only, 0mm
    NetC48_1, Signal Layers Only, 0mm
    NetC49_1, Signal Layers Only, 0mm
    NetC49_2, Signal Layers Only, 0mm
    NetC50_2, Signal Layers Only, 0mm
    NetC51_2, Signal Layers Only, 0mm
    NetC52_2, Signal Layers Only, 0mm
    NetC53_2, Signal Layers Only, 0mm
    NetC54_2, Signal Layers Only, 0mm
    NetC55_2, Signal Layers Only, 0mm
    NetC56_2, Signal Layers Only, 0mm
    NetC57_2, Signal Layers Only, 0mm
    NetC8_2, Signal Layers Only, 0mm
    NetD10_1, Signal Layers Only, 0mm
    NetD11_1, Signal Layers Only, 0mm
    NetD12_1, Signal Layers Only, 0mm
    NetD1_1, Signal Layers Only, 0mm
    NetD1_2, Signal Layers Only, 0mm
    NetD2_1, Signal Layers Only, 0mm
    NetD2_2, Signal Layers Only, 0mm
    NetD3_1, Signal Layers Only, 0mm
    NetD3_2, Signal Layers Only, 0mm
    NetD4_1, Signal Layers Only, 0mm
    NetD5_1, Signal Layers Only, 0mm
    NetD6_1, Signal Layers Only, 0mm
    NetD7_1, Signal Layers Only, 0mm
    NetD8_1, Signal Layers Only, 0mm
    NetD9_1, Signal Layers Only, 0mm
    NetDisplay1_10, Signal Layers Only, 0mm
    NetDisplay1_15, Signal Layers Only, 0mm
    NetDisplay1_3, Signal Layers Only, 0mm
    NetDisplay1_4, Signal Layers Only, 0mm
    NetDisplay1_6, Signal Layers Only, 0mm
    NetDisplay1_7, Signal Layers Only, 0mm
    NetDisplay1_8, Signal Layers Only, 0mm
    NetDisplay1_9, Signal Layers Only, 0mm
    NetJ1_1, Signal Layers Only, 0mm
    NetJ1_4, Signal Layers Only, 0mm
    NetJ1_5, Signal Layers Only, 0mm
    NetJ2_4, Signal Layers Only, 0mm
    NetJ3_4, Signal Layers Only, 0mm
    NetJ3_5, Signal Layers Only, 0mm
    NetJ4_1, Signal Layers Only, 0mm
    NetJ4_2, Signal Layers Only, 0mm
    NetP1_2, Signal Layers Only, 0mm
    NetP2_1, Signal Layers Only, 0mm
    NetP3_1, Signal Layers Only, 0mm
    NetP3_2, Signal Layers Only, 0mm
    NetP3_3, Signal Layers Only, 0mm
    NetP4_1, Signal Layers Only, 0mm
    NetP4_2, Signal Layers Only, 0mm
    NetP5_1, Signal Layers Only, 0mm
    NetP5_2, Signal Layers Only, 0mm
    NetP5_3, Signal Layers Only, 0mm
    NetP6_1, Signal Layers Only, 0mm
    NetP7_1, Signal Layers Only, 0mm
    NetP7_2, Signal Layers Only, 0mm
    NetP8_2, Signal Layers Only, 0mm
    NetP9_2, Signal Layers Only, 0mm
    NetQ1_2, Signal Layers Only, 0mm
    NetQ1_3, Signal Layers Only, 0mm
    NetQ2_3, Signal Layers Only, 0mm
    NetQ3_1, Signal Layers Only, 0mm
    NetR100_1, Signal Layers Only, 0mm
    NetR109_1, Signal Layers Only, 0mm
    NetR10_1, Signal Layers Only, 0mm
    NetR10_2, Signal Layers Only, 0mm
    NetR110_1, Signal Layers Only, 0mm
    NetR111_1, Signal Layers Only, 0mm
    NetR112_1, Signal Layers Only, 0mm
    NetR113_1, Signal Layers Only, 0mm
    NetR114_1, Signal Layers Only, 0mm
    NetR115_1, Signal Layers Only, 0mm
    NetR116_1, Signal Layers Only, 0mm
    NetR11_1, Signal Layers Only, 0mm
    NetR11_2, Signal Layers Only, 0mm
    NetR12_1, Signal Layers Only, 0mm
    NetR12_2, Signal Layers Only, 0mm
    NetR13_1, Signal Layers Only, 0mm
    NetR13_2, Signal Layers Only, 0mm
    NetR14_1, Signal Layers Only, 0mm
    NetR14_2, Signal Layers Only, 0mm
    NetR15_2, Signal Layers Only, 0mm
    NetR16_2, Signal Layers Only, 0mm
    NetR18_2, Signal Layers Only, 0mm
    NetR23_1, Signal Layers Only, 0mm
    NetR23_2, Signal Layers Only, 0mm
    NetR26_1, Signal Layers Only, 0mm
    NetR28_1, Signal Layers Only, 0mm
    NetR28_2, Signal Layers Only, 0mm
    NetR30_1, Signal Layers Only, 0mm
    NetR34_2, Signal Layers Only, 0mm
    NetR35_2, Signal Layers Only, 0mm
    NetR38_2, Signal Layers Only, 0mm
    NetR39_2, Signal Layers Only, 0mm
    NetR42_1, Signal Layers Only, 0mm
    NetR45_2, Signal Layers Only, 0mm
    NetR46_2, Signal Layers Only, 0mm
    NetR47_1, Signal Layers Only, 0mm
    NetR47_2, Signal Layers Only, 0mm
    NetR48_1, Signal Layers Only, 0mm
    NetR49_1, Signal Layers Only, 0mm
    NetR51_2, Signal Layers Only, 0mm
    NetR52_2, Signal Layers Only, 0mm
    NetR53_1, Signal Layers Only, 0mm
    NetR54_1, Signal Layers Only, 0mm
    NetR55_2, Signal Layers Only, 0mm
    NetR58_1, Signal Layers Only, 0mm
    NetR65_2, Signal Layers Only, 0mm
    NetR66_1, Signal Layers Only, 0mm
    NetR69_1, Signal Layers Only, 0mm
    NetR71_2, Signal Layers Only, 0mm
    NetR72_1, Signal Layers Only, 0mm
    NetR75_1, Signal Layers Only, 0mm
    NetR77_1, Signal Layers Only, 0mm
    NetR7_1, Signal Layers Only, 0mm
    NetR82_1, Signal Layers Only, 0mm
    NetR85_2, Signal Layers Only, 0mm
    NetR87_1, Signal Layers Only, 0mm
    NetR88_1, Signal Layers Only, 0mm
    NetR89_1, Signal Layers Only, 0mm
    NetR90_1, Signal Layers Only, 0mm
    NetR91_1, Signal Layers Only, 0mm
    NetR92_1, Signal Layers Only, 0mm
    NetR93_1, Signal Layers Only, 0mm
    NetR94_1, Signal Layers Only, 0mm
    NetR95_1, Signal Layers Only, 0mm
    NetR96_1, Signal Layers Only, 0mm
    NetR97_1, Signal Layers Only, 0mm
    NetR98_1, Signal Layers Only, 0mm
    NetR99_1, Signal Layers Only, 0mm
    NetR9_2, Signal Layers Only, 0mm
    NetU1_47, Signal Layers Only, 0mm
    NetU1_48, Signal Layers Only, 0mm
    VCC, Signal Layers Only, 0mm
count : 165
